"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Total assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526139","1.1.3.1.1.1","491075","","","","0"
"2005","Canada","2016A000011124","Total assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526139","1.1.3.1.1.1","510830","","","","0"
"2012","Canada","2016A000011124","Total assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526139","1.1.3.1.1.1","869649","","","","0"
"2016","Canada","2016A000011124","Total assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526139","1.1.3.1.1.1","983498","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526265","1.2.3.1.1.1","66102","","","","0"
"2005","Canada","2016A000011124","Private pension assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526265","1.2.3.1.1.1","60595","","","","0"
"2012","Canada","2016A000011124","Private pension assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526265","1.2.3.1.1.1","123203","","","","0"
"2016","Canada","2016A000011124","Private pension assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526265","1.2.3.1.1.1","134168","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526391","1.3.3.1.1.1","40270","","","","0"
"2005","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526391","1.3.3.1.1.1","39121","E","","","0"
"2012","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526391","1.3.3.1.1.1","47196","","","","0"
"2016","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526391","1.3.3.1.1.1","47422","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526517","1.4.3.1.1.1","25832","","","","0"
"2005","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526517","1.4.3.1.1.1","21474","","","","0"
"2012","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526517","1.4.3.1.1.1","76008","","","","0"
"2016","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526517","1.4.3.1.1.1","86746","","","","0"
"1999","Canada","2016A000011124","Financial assets, non pension","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526643","1.5.3.1.1.1","38704","","","","0"
"2005","Canada","2016A000011124","Financial assets, non pension","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526643","1.5.3.1.1.1","48776","","","","0"
"2012","Canada","2016A000011124","Financial assets, non pension","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526643","1.5.3.1.1.1","65123","","","","0"
"2016","Canada","2016A000011124","Financial assets, non pension","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526643","1.5.3.1.1.1","83378","","","","0"
"1999","Canada","2016A000011124","Deposits in financial institutions","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526769","1.6.3.1.1.1","18407","","","","0"
"2005","Canada","2016A000011124","Deposits in financial institutions","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526769","1.6.3.1.1.1","22742","","","","0"
"2012","Canada","2016A000011124","Deposits in financial institutions","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526769","1.6.3.1.1.1","29511","","","","0"
"2016","Canada","2016A000011124","Deposits in financial institutions","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526769","1.6.3.1.1.1","36351","","","","0"
"1999","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526895","1.7.3.1.1.1","5671","","","","0"
"2005","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526895","1.7.3.1.1.1","7331","E","","","0"
"2012","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526895","1.7.3.1.1.1","7794","E","","","0"
"2016","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526895","1.7.3.1.1.1","8532","E","","","0"
"1999","Canada","2016A000011124","Stocks","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527021","1.8.3.1.1.1","6068","E","","","0"
"2005","Canada","2016A000011124","Stocks","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527021","1.8.3.1.1.1","4029","E","","","0"
"2012","Canada","2016A000011124","Stocks","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527021","1.8.3.1.1.1","10059","E","","","0"
"2016","Canada","2016A000011124","Stocks","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527021","1.8.3.1.1.1","5281","E","","","0"
"1999","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527147","1.9.3.1.1.1","1169","E","","","0"
"2005","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527147","1.9.3.1.1.1","6257","E","","","0"
"2012","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527147","1.9.3.1.1.1","724","E","","","0"
"2016","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527147","1.9.3.1.1.1","252","E","","","0"
"1999","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527273","1.10.3.1.1.1","","..","","","0"
"2005","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527273","1.10.3.1.1.1","","..","","","0"
"2012","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527273","1.10.3.1.1.1","7811","","","","0"
"2016","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527273","1.10.3.1.1.1","16337","","","","0"
"1999","Canada","2016A000011124","Other financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527399","1.11.3.1.1.1","7389","E","","","0"
"2005","Canada","2016A000011124","Other financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527399","1.11.3.1.1.1","8417","E","","","0"
"2012","Canada","2016A000011124","Other financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527399","1.11.3.1.1.1","9225","E","","","0"
"2016","Canada","2016A000011124","Other financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527399","1.11.3.1.1.1","16626","E","","","0"
"1999","Canada","2016A000011124","Non-financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527525","1.12.3.1.1.1","333617","","","","0"
"2005","Canada","2016A000011124","Non-financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527525","1.12.3.1.1.1","379943","","","","0"
"2012","Canada","2016A000011124","Non-financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527525","1.12.3.1.1.1","589196","","","","0"
"2016","Canada","2016A000011124","Non-financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527525","1.12.3.1.1.1","713404","","","","0"
"1999","Canada","2016A000011124","Principal residence","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527651","1.13.3.1.1.1","212908","","","","0"
"2005","Canada","2016A000011124","Principal residence","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527651","1.13.3.1.1.1","256114","","","","0"
"2012","Canada","2016A000011124","Principal residence","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527651","1.13.3.1.1.1","402184","","","","0"
"2016","Canada","2016A000011124","Principal residence","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527651","1.13.3.1.1.1","480009","","","","0"
"1999","Canada","2016A000011124","Other real estate","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527777","1.14.3.1.1.1","38391","","","","0"
"2005","Canada","2016A000011124","Other real estate","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527777","1.14.3.1.1.1","45560","E","","","0"
"2012","Canada","2016A000011124","Other real estate","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527777","1.14.3.1.1.1","99120","","","","0"
"2016","Canada","2016A000011124","Other real estate","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527777","1.14.3.1.1.1","143382","","","","0"
"1999","Canada","2016A000011124","Vehicles","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527903","1.15.3.1.1.1","32129","","","","0"
"2005","Canada","2016A000011124","Vehicles","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527903","1.15.3.1.1.1","33519","","","","0"
"2012","Canada","2016A000011124","Vehicles","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527903","1.15.3.1.1.1","41809","","","","0"
"2016","Canada","2016A000011124","Vehicles","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527903","1.15.3.1.1.1","44290","","","","0"
"1999","Canada","2016A000011124","Other non-financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528029","1.16.3.1.1.1","50190","","","","0"
"2005","Canada","2016A000011124","Other non-financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528029","1.16.3.1.1.1","44750","","","","0"
"2012","Canada","2016A000011124","Other non-financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528029","1.16.3.1.1.1","46083","","","","0"
"2016","Canada","2016A000011124","Other non-financial assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528029","1.16.3.1.1.1","45724","","","","0"
"1999","Canada","2016A000011124","Equity in business","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528155","1.17.3.1.1.1","52652","E","","","0"
"2005","Canada","2016A000011124","Equity in business","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528155","1.17.3.1.1.1","21516","E","","","0"
"2012","Canada","2016A000011124","Equity in business","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528155","1.17.3.1.1.1","92126","E","","","0"
"2016","Canada","2016A000011124","Equity in business","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528155","1.17.3.1.1.1","52548","E","","","0"
"1999","Canada","2016A000011124","Total debts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528281","1.18.3.1.1.1","165040","","","","0"
"2005","Canada","2016A000011124","Total debts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528281","1.18.3.1.1.1","201285","","","","0"
"2012","Canada","2016A000011124","Total debts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528281","1.18.3.1.1.1","316861","","","","0"
"2016","Canada","2016A000011124","Total debts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528281","1.18.3.1.1.1","367522","","","","0"
"1999","Canada","2016A000011124","Mortgages","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528407","1.19.3.1.1.1","125633","","","","0"
"2005","Canada","2016A000011124","Mortgages","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528407","1.19.3.1.1.1","148598","","","","0"
"2012","Canada","2016A000011124","Mortgages","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528407","1.19.3.1.1.1","253403","","","","0"
"2016","Canada","2016A000011124","Mortgages","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528407","1.19.3.1.1.1","305341","","","","0"
"1999","Canada","2016A000011124","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528533","1.20.3.1.1.1","115361","","","","0"
"2005","Canada","2016A000011124","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528533","1.20.3.1.1.1","137219","","","","0"
"2012","Canada","2016A000011124","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528533","1.20.3.1.1.1","213784","","","","0"
"2016","Canada","2016A000011124","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528533","1.20.3.1.1.1","257621","","","","0"
"1999","Canada","2016A000011124","Mortgage on other real estate","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528659","1.21.3.1.1.1","10271","","","","0"
"2005","Canada","2016A000011124","Mortgage on other real estate","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528659","1.21.3.1.1.1","11380","E","","","0"
"2012","Canada","2016A000011124","Mortgage on other real estate","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528659","1.21.3.1.1.1","39619","E","","","0"
"2016","Canada","2016A000011124","Mortgage on other real estate","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528659","1.21.3.1.1.1","47720","","","","0"
"1999","Canada","2016A000011124","Line of credit","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528785","1.22.3.1.1.1","5053","","","","0"
"2005","Canada","2016A000011124","Line of credit","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528785","1.22.3.1.1.1","12599","E","","","0"
"2012","Canada","2016A000011124","Line of credit","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528785","1.22.3.1.1.1","17048","","","","0"
"2016","Canada","2016A000011124","Line of credit","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528785","1.22.3.1.1.1","12938","","","","0"
"1999","Canada","2016A000011124","Credit card and installment debt","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528911","1.23.3.1.1.1","5263","","","","0"
"2005","Canada","2016A000011124","Credit card and installment debt","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528911","1.23.3.1.1.1","5533","","","","0"
"2012","Canada","2016A000011124","Credit card and installment debt","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528911","1.23.3.1.1.1","7395","","","","0"
"2016","Canada","2016A000011124","Credit card and installment debt","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528911","1.23.3.1.1.1","7083","","","","0"
"1999","Canada","2016A000011124","Student loans","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529037","1.24.3.1.1.1","11552","","","","0"
"2005","Canada","2016A000011124","Student loans","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529037","1.24.3.1.1.1","13478","","","","0"
"2012","Canada","2016A000011124","Student loans","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529037","1.24.3.1.1.1","16686","","","","0"
"2016","Canada","2016A000011124","Student loans","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529037","1.24.3.1.1.1","17607","","","","0"
"1999","Canada","2016A000011124","Vehicle loans","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529163","1.25.3.1.1.1","11843","","","","0"
"2005","Canada","2016A000011124","Vehicle loans","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529163","1.25.3.1.1.1","12780","","","","0"
"2012","Canada","2016A000011124","Vehicle loans","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529163","1.25.3.1.1.1","17935","","","","0"
"2016","Canada","2016A000011124","Vehicle loans","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529163","1.25.3.1.1.1","21765","","","","0"
"1999","Canada","2016A000011124","Other debt","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529289","1.26.3.1.1.1","5697","","","","0"
"2005","Canada","2016A000011124","Other debt","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529289","1.26.3.1.1.1","8296","E","","","0"
"2012","Canada","2016A000011124","Other debt","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529289","1.26.3.1.1.1","4394","","","","0"
"2016","Canada","2016A000011124","Other debt","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529289","1.26.3.1.1.1","2788","","","","0"
"1999","Canada","2016A000011124","Net Worth (assets less debts)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529415","1.27.3.1.1.1","326035","","","","0"
"2005","Canada","2016A000011124","Net Worth (assets less debts)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529415","1.27.3.1.1.1","309545","","","","0"
"2012","Canada","2016A000011124","Net Worth (assets less debts)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529415","1.27.3.1.1.1","552788","","","","0"
"2016","Canada","2016A000011124","Net Worth (assets less debts)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529415","1.27.3.1.1.1","615976","","","","0"


